,year,title,director,cast,genre,producer
632,2016,Azhahendra Sollukku Amudha,Nagarajan,"Rijan Suresh, Aashritha, Pattimandram Raja",Romance,Ralph Productions
633,2016,Maaveeran Kittu,Suseenthiran,"Vishnu Vishal, Sri Divya, Parthiban",Drama,Nallu Samy Pictures & Asian Cine Combines
634,2016,Pazhaya Vannarapettai,G. Mohan,"Prajin, Richard, Nishanth, Ashmitha, Karunas",Drama,Sri Krishna Talkies
635,2016,Atti,Vijayabhaskar,"Ma Ka Pa Anand, Ashmitha, Ramki",Comedy,Parinita Productions
636,2016,Chennai 600028 II: Second Innings,Venkat Prabhu,"Shiva, Jai, Vaibhav, Premji, Vijay Vasanth, Aravind Akash, Nithin Sathya, Ajay Raj, Mahat Raghavendra",Sports Comedy,Black Ticket Company
637,2016,Parandhu Sella Vaa,Dhanapal Padmanabhan,"Luthfudeen, Aishwarya Rajesh, Narelle Kheng, Karunakaran, Sathish, RJ Balaji",Romantic comedy,8 Point Entertainment
638,2016,Andaman,Aadhavan,"Richard, Manochitra, Kannadasan, Manobala, Vaiyapuri",Romance,Sudha Movie Creations
639,2016,Veera Sivaji,Ganesh Vinayak,"Vikram Prabhu, Shamili, John Vijay",Action,Madras Enterprises
640,2016,Balle Vellaiyathevaa,Prakash,"M. Sasikumar, Tanya, Kovai Sarala, Sangili Murugan",Comedy,Company Productions
641,2016,Kaththi Sandai,Suraj,"Vishal, Tamannaah, Jagapati Babu, Vadivelu",Action masala,Madras Enterprises
642,2016,Manal Kayiru 2,Madhan Kumar,"Ashwin Shekhar, Poorna, S. Ve. Sekhar, Visu",Comedy drama,Sri Thenandal Films
643,2016,Ner Mugam,Murali Krishna,"Rafee, Meera Nandan, Meenakshi, Pandiarajan",Action,Hi-Tech Pictures
644,2016,Dhuruvangal Pathinaaru,Karthick Naren,"Rahman, Ashwin Kumar, Prakash Raghavan, Santhosh Krishna, Yaashika Aanand",Crime thriller,Knight Nostalgia Filmotainment & Venus Infotainment
645,2016,Achamindri,Rajapandi,"Vijay Vasanth, Srushti Dange, Samuthirakani, Saranya Ponvannan",Action drama,Triple V Records
646,2016,Adhiran,J. V. Mohan,"Suresh Kumar, Sanjana, Shreeram, Fathima",Drama,B Movies
647,2016,Eganapuram,V. Suresh Natchatra,"V. Ravi, Jothisha Ammu, Rithu Rajasimman",Drama,VR Movies International
648,2016,Kandadhai Sollugiren,B. Lenin,"Poo Ramu, Anand, Janaki, Karuna, Jeniffer",Drama,Buddha Pictures & JSK Film Corporation
649,2016,Meow,Chinnas Palanisamy,"R. Raja, Gayathri Iyer",Comedy thriller,Global Woods Movies
650,2016,Mo,Bhuvan Nallan,"Suresh Ravi, Aishwarya Rajesh, Pooja Devariya, Ramesh Thilak",Horror comedy,Moment Entertainment & Infotainment Ltd
651,2016,Thalaiyatti Bommai,Bagavathi Bala,"Ramesh, Tanvi, Meera Krishnan",Horror comedy,S Films
652,2015,Thiru Vi Ka Poonga,Senthil,"Senthil, Swathi Shanmugam",Drama,The Budget Film Company
653,2015,Virudhalaam Pattu,R. Jayakanthan,"Hemanth Kumar, Saniya Srivastav",Romance,Tamizh Thai Productions
654,2015,Vishayam Veliye Theriya Koodadhu,A. Raagaventira,"Sentrayan, Ranga",Thriller,Open Eye Theatres
655,2015,Kizhakke Udhiththa Kaadhal,K. Muni Shankar,"Aariyan, Lisha, Sumalatha",Comedy drama,Faceon Mediya
656,2015,Vettaiyadu,K. S. Vijayabalan,"Vidiyal Raju, Udhayathara, Hari, Prajwal Poovaiah",Drama,Shoundaryan Pictures
657,2015,I,Shankar,"Vikram, Amy Jackson, Suresh Gopi, Upen Patel",Romantic thriller,Aascar Film
658,2015,Aambala,Sundar C.,"Vishal, Hansika Motwani, Prabhu",Action masala,Vishal Film Factory
