,year,title,director,cast,genre,producer
1249,2011,Kanchana,Raghava Lawrence,"Raghava Lawrence, R. Sarathkumar, Lakshmi Rai",Comedy horror,Produced by Raghava Productions
1250,2011,Bodinayakanur Ganesan,Gnanam,"Harikumar, Arundhathi, Sai Ravi",Action,
1251,2011,Karungali,Kalanjiyam,"Kalanjiyam, Anjali, Srinivas, Sunitha Varma, Asmitha",Drama,
1252,2011,Markandeyan,FEFSI Vijayan,"Sabarash, Savika Chaiyadej (Pinky), Nivedhitha, Srihari",Action,
1253,2011,Veppam,Anjana Ali Khan,"Karthik Kumar, Nani, Nithya Menen, Bindu Madhavi",Drama,Produced by Photon Kathaas
1254,2011,Doo,Sriram Padmanabhan,"Sanjay, Nakshatra, Sangeetha Bhatt",Romance,
1255,2011,Potta Potti,Yuvaraj,"Sadagoppan Ramesh, Harini",Sports comedy,
1256,2011,Ramanathapuram,J. J. Hasen,"Rakesh, Archana Sharma",Romance,
1257,2011,Konjam Mazhai Konjam Veyil,Ekadasi,"Tej, Nakshatra, Hansifa",Drama,Produced by FCS Creations
1258,2011,Rowthiram,Gokul,"Jiiva, Shriya Saran",Action,Produced by Super Good Films
1259,2011,Saghakkal,L. Muthukumara Swamy,"Sanjeev, Advaitha",Drama,Produced by VVV Creations
1260,2011,Sankarankovil,Palanivel Raja,"Kanal Kannan, Rupika Ramnath, Nassar, Prabhu",Drama,Produced by Sivadarshini Cine Arts
1261,2011,Uyarthiru 420,Premnath,"Snehan, Meghana Raj, Akshara Gowda, Akshaya, Vaseegaran",Action,Produced by Rich India Talkies
1262,2011,En Ullam Unnai Theduthe,N. Selvaraj,"N. Selvaraj, Manjula Vijayakumar, Anandraj, Dhaamu",Romance,
1263,2011,Mittai,M. S. Anbu,"Santhosh, Prabha, Mayya Unni",Romance,
1264,2011,Mudhal Idam,R. Kumaran,"Vidharth, Kavitha Nair, Kishore",Romantic comedy,Produced by AVM Productions
1265,2011,Vengayam,Sankagiri Rajkumar,"Satyaraj, Alexander, Paveena",Drama,
1266,2011,Puli Vesham,P. Vasu,"R. K., Karthik, Sadha, Divya Padmini",Drama,Produced by RK Worlds
